company_id,metric,period,value,raw_value
HDFCBANK,Sales Growth,10 Years,21.0,10 Years: 21%
HDFCBANK,Profit Growth,10 Years,22.0,10 Years: 22%
HDFCBANK,Stock CAGR,10 Years,15.0,10 Years:     15%
HDFCBANK,ROE,10 Years,17.0,10 Years:     17%
SBILIFE,Sales Growth,5 Years,24.0,5 Years:       24%
SBILIFE,Profit Growth,5 Years,6.0,5 Years:            6%
SBILIFE,Stock CAGR,5 Years,8.0,     5 Years:       8%
SBILIFE,ROE,5 Years,14.0,5 Years          14%
SBILIFE,Sales Growth,3 Years,17.0,3 Years:       17%
SBILIFE,Profit Growth,3 Years,9.0,3 Years:            9%
SBILIFE,Stock CAGR,3 Years,7.0,     3 Years:       7%
SBILIFE,ROE,3 Years,13.0,3 Years:         13%
SBILIFE,Sales Growth,TTM,43.0,TTM:            43%
SBILIFE,Profit Growth,TTM,18.0,TTM:                 18%
SBILIFE,Stock CAGR,1 Year,-2.0,     1 Year:         -2%
SBILIFE,ROE,Last Year,12.0,Last Year:      12%
TCS,Sales Growth,10 Years,11.0,10 Years:     11%             
TCS,Profit Growth,10 Years,9.0,10 Years:          9%
TCS,Stock CAGR,10 Years,14.0,    10 Years:      14%
TCS,ROE,10 Years,40.0,10 Years:       40%
TCS,Sales Growth,5 Years,10.0,5 Years:       10%             
TCS,Profit Growth,5 Years,8.0,5 Years:            8%
TCS,Stock CAGR,5 Years,16.0,      5 Years:      16%
TCS,ROE,5 Years,44.0,5 Years:          44%
TCS,Sales Growth,3 Years,14.0,3 Years:       14%             
TCS,Profit Growth,3 Years,12.0,3 Years:            12%
TCS,Stock CAGR,3 Years,8.0,      3 Years:      8%
TCS,ROE,3 Years,47.0,3 Years:          47%
TCS,Sales Growth,TTM,5.0,TTM:            5%             
TCS,Profit Growth,TTM,8.0,TTM:                 8%
TCS,Stock CAGR,1 Year,16.0,      1 Year:       16%
TCS,ROE,Last Year,52.0,Last Year:       52%
WIPRO,Sales Growth,10 Years,8.0,10 Years:     8%
WIPRO,Profit Growth,10 Years,3.0,10 Years:          3%
WIPRO,Stock CAGR,10 Years,12.0,    10 Years:     12%
WIPRO,ROE,10 Years,18.0,10 Years:        18%
WIPRO,Sales Growth,5 Years,9.0,5 Years:       9%
WIPRO,Profit Growth,5 Years,4.0,5 Years:            4%
WIPRO,Stock CAGR,5 Years,20.0,      5 Years:     20%
WIPRO,ROE,5 Years,17.0,5 Years:          17%
WIPRO,Sales Growth,3 Years,13.0,3 Years:      13%
WIPRO,Profit Growth,3 Years,0.0,3 Years:            0%
WIPRO,Stock CAGR,3 Years,-1.0,      3 Years:      -1%
WIPRO,ROE,3 Years,17.0,3 Years:          17%
HDFCBANK,Sales Growth,5 Years,22.0,5 Years:       22%
HDFCBANK,Profit Growth,5 Years,23.0,5 Years:           23%
HDFCBANK,Stock CAGR,5 Years,8.0,      5 Years:       8%
HDFCBANK,ROE,5 Years,17.0,5 Years:       17%
WIPRO,Sales Growth,TTM,-3.0,TTM:           -3%
WIPRO,Profit Growth,TTM,1.0,TTM:                 1%
WIPRO,Stock CAGR,1 Year,39.0,      1 Year:       39%
WIPRO,ROE,Last Year,14.0,Last Year:       14%
HDFCBANK,Sales Growth,3 Years,30.0,3 Years:       30%
HDFCBANK,Profit Growth,3 Years,26.0,3 Years:           26%
HDFCBANK,Stock CAGR,3 Years,8.0,      3 Years:       8%
HDFCBANK,ROE,3 Years,17.0,3 Years:       17%
HDFCBANK,Sales Growth,TTM,47.0,TTM:            47%
HDFCBANK,Profit Growth,TTM,27.0,TTM:                27%
HDFCBANK,Stock CAGR,1 Year,13.0,      1 Year:        13%
HDFCBANK,ROE,Last Year,17.0,Last Year:    17%
INFY,Sales Growth,10 Years,12.0,10 Years:     12%
INFY,Profit Growth,10 Years,9.0,10 Years:         9%
INFY,Stock CAGR,10 Years,15.0,     10 Years:     15%
INFY,ROE,10 Years,27.0,10 Years:      27%
INFY,Sales Growth,5 Years,13.0,5 Years:       13%
INFY,Profit Growth,5 Years,11.0,5 Years:           11%
INFY,Stock CAGR,5 Years,22.0,       5 Years:     22%
INFY,ROE,5 Years,29.0,5 Years:        29%
INFY,Sales Growth,3 Years,5.0,3 Years:       5%
INFY,Profit Growth,3 Years,10.0,3 Years:           10%
INFY,Stock CAGR,3 Years,4.0,       3 Years:     4%
INFY,ROE,3 Years,31.0,3 Years:        31%
INFY,Sales Growth,TTM,3.0,TTM:            3%
INFY,Profit Growth,TTM,8.0,TTM:                 8%
INFY,Stock CAGR,1 Year,27.0,       1 Year:       27%
INFY,ROE,Last Year,32.0,Last Year:     32%
SBILIFE,Sales Growth,10 Years,23.0,10 Years:     23%
SBILIFE,Profit Growth,10 Years,9.0,10 Years:          9%
SBILIFE,Stock CAGR,10 Years,9.0,    10 Years:      9%
SBILIFE,ROE,10 Years,16.0,10 Years:      16%
