company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
TCS,Mar-13,+,-,-,Reinvestor
TCS,Mar-14,+,-,-,Reinvestor
TCS,Mar-15,+,-,-,Shareholder Returns
TCS,Mar-16,+,-,-,Shareholder Returns
TCS,Mar-17,+,-,-,Reinvestor
TCS,Mar-18,+,+,-,Liquidating Assets
TCS,Mar-19,+,+,-,Liquidating Assets
TCS,Mar-20,+,+,-,Liquidating Assets
TCS,Mar-21,+,-,-,Reinvestor
TCS,Mar-22,+,-,-,Shareholder Returns
TCS,Mar-23,+,+,-,Liquidating Assets
TCS,Mar-24,+,+,-,Liquidating Assets
ABB,Dec-12,+,-,-,Shareholder Returns
ABB,Mar-14,+,-,-,Reinvestor
ABB,Mar-15,+,-,-,Reinvestor
ABB,Mar-16,+,-,-,Shareholder Returns
ABB,Mar-17,+,-,-,Shareholder Returns
ABB,Mar-18,+,-,-,Reinvestor
ABB,Mar-19,+,-,-,Shareholder Returns
ABB,Mar-20,+,-,-,Shareholder Returns
ABB,Mar-21,+,-,-,Shareholder Returns
ABB,Mar-22,+,-,-,Reinvestor
ABB,Mar-23,+,-,-,Shareholder Returns
ABB,Mar-24,+,-,-,Shareholder Returns
ABB,Mar-14,+,+,+,Cash Accumulator
ABB,Mar-15,-,-,+,Growth Funded by Debt
ABB,Mar-16,+,-,-,Shareholder Returns
ABB,Mar-17,+,-,-,Shareholder Returns
ABB,Mar-18,+,-,+,Mixed
ABB,Mar-19,+,-,+,Mixed
ABB,Mar-20,+,-,+,Mixed
ABB,Mar-21,+,-,-,Reinvestor
ABB,Mar-22,+,-,-,Reinvestor
ABB,Mar-23,+,-,+,Mixed
ABB,Mar-24,+,-,-,Shareholder Returns
ADANIENSOL,Mar-14,+,+,+,Cash Accumulator
ADANIENSOL,Mar-15,-,-,+,Growth Funded by Debt
ADANIENSOL,Mar-16,+,-,-,Shareholder Returns
ADANIENSOL,Mar-17,+,-,-,Shareholder Returns
ADANIENSOL,Mar-18,+,-,+,Mixed
ADANIENSOL,Mar-19,+,-,+,Mixed
ADANIENSOL,Mar-20,+,-,+,Mixed
ADANIENSOL,Mar-21,+,-,-,Reinvestor
