company_id,company_name,capital_score,rating,reinvestment_ratio,reinvestment_category,dividend_policy,cash_utilization,debt_trend,leverage
ABB,Abbott India Ltd,100,Excellent,81.86,Growth Focused,High Dividend,Healthy Capital Allocation,Stable Debt,Low
ADANIENSOL,Adani Energy Solutions Ltd,63,Average,81.86,Growth Focused,No Dividend,Healthy Capital Allocation,Increasing Debt,Very High
ADANIENT,Adani Enterprises Ltd,72,Good,181.99,Aggressive Expansion,Low Dividend,Expansion Using External Funding,Increasing Debt,High
ADANIGREEN,Adani Green Energy Ltd,49,Weak,273.05,Aggressive Expansion,No Dividend,Expansion Using External Funding,Increasing Debt,Very High
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",100,Excellent,45.07,Balanced,Low Dividend,Healthy Capital Allocation,Deleveraging,Moderate
ADANIPOWER,Adani Power Ltd,100,Excellent,24.57,Low Reinvestment,No Dividend,Asset Monetization,Deleveraging,Moderate
AGTL,,38,Weak,78.74,Growth Focused,Unknown,Healthy Capital Allocation,Unknown,Unknown
AMBUJACEM,Ambuja Cements Ltd,100,Excellent,158.36,Aggressive Expansion,Low Dividend,Expansion Using External Funding,Increasing Debt,Low
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",100,Excellent,80.05,Growth Focused,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Moderate
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",100,Excellent,41.74,Balanced,High Dividend,Healthy Capital Allocation,Stable Debt,Low
AXISBANK,Axis Bank Ltd,45,Weak,162.03,Aggressive Expansion,Low Dividend,Financial Stress,Increasing Debt,Very High
BAJAJ-AUTO,Bajaj Auto Ltd,100,Excellent,1.1,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Stable Debt,Low
BAJAJFINSV,Bajaj Finserv Ltd,43,Weak,15.96,Low Reinvestment,Low Dividend,Financial Stress,Increasing Debt,Very High
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,100,Excellent,24.32,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Deleveraging,Low
BAJFINANCE,Bajaj Finance Ltd,43,Weak,9.86,Low Reinvestment,Low Dividend,Financial Stress,Increasing Debt,Very High
BANKBARODA,Bank of Baroda,50,Weak,20.48,Low Reinvestment,Moderate Dividend,Financial Stress,Increasing Debt,Very High
BEL,Bharat Electronics Ltd,100,Excellent,127.15,Aggressive Expansion,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Moderate
BHARTIARTL,Bharti Airtel Ltd,100,Excellent,64.75,Growth Focused,High Dividend,Healthy Capital Allocation,Deleveraging,Very High
BHEL,"Bharat Heavy Electricals Limited
",100,Excellent,35.85,Balanced,Moderate Dividend,Financial Stress,Increasing Debt,Low
BOSCHLTD,Bosch Ltd,100,Excellent,22.59,Low Reinvestment,Moderate Dividend,Asset Monetization,Deleveraging,Low
BPCL,Bharat Petroleum Corporation Ltd,100,Excellent,29.28,Balanced,Moderate Dividend,Healthy Capital Allocation,Deleveraging,Moderate
BRITANNIA,Britannia Industries Ltd,100,Excellent,18.54,Low Reinvestment,High Dividend,Asset Monetization,Deleveraging,Moderate
CANBK,Canara Bank,63,Average,11.63,Low Reinvestment,Low Dividend,Healthy Capital Allocation,Increasing Debt,Very High
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,43,Weak,8.0,Low Reinvestment,Low Dividend,Financial Stress,Increasing Debt,Very High
CIPLA,"Cipla Ltd
",100,Excellent,72.13,Growth Focused,Moderate Dividend,Healthy Capital Allocation,Deleveraging,Low
COALINDIA,Coal India Ltd,100,Excellent,24.78,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Low
DABUR,Dabur India Ltd,100,Excellent,48.24,Balanced,High Dividend,Healthy Capital Allocation,Increasing Debt,Low
