company_id,company_name,cluster_id,cluster_name,distance_from_centroid
ABB,Abbott India Ltd,0,Stable Performers,0.291965866
ABB,Abbott India Ltd,0,Stable Performers,0.294015424
ADANIENSOL,Adani Energy Solutions Ltd,3,Leveraged Growth,1.287471608
ATGL,Adani Total Gas Limited,0,Stable Performers,0.919048101
ADANIENT,Adani Enterprises Ltd,0,Stable Performers,1.301741339
ADANIGREEN,Adani Green Energy Ltd,3,Leveraged Growth,2.428483156
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",1,High Profit Leaders,1.178389638
ADANIPOWER,Adani Power Ltd,0,Stable Performers,1.026739984
AMBUJACEM,Ambuja Cements Ltd,0,Stable Performers,0.919048101
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",0,Stable Performers,0.662741668
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",0,Stable Performers,0.42449339
AXISBANK,Axis Bank Ltd,3,Leveraged Growth,1.811899814
BAJAJ-AUTO,Bajaj Auto Ltd,0,Stable Performers,0.339980603
BAJAJ-AUTO,Bajaj Auto Ltd,0,Stable Performers,0.339980603
BAJAJFINSV,Bajaj Finserv Ltd,3,Leveraged Growth,0.862765409
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,1,High Profit Leaders,2.47371063
BAJFINANCE,Bajaj Finance Ltd,3,Leveraged Growth,1.189055811
BANKBARODA,Bank of Baroda,3,Leveraged Growth,2.172719
BEL,Bharat Electronics Ltd,2,Financial Outliers,0.786328717
BHARTIARTL,Bharti Airtel Ltd,1,High Profit Leaders,1.283493521
BHEL,"Bharat Heavy Electricals Limited
",0,Stable Performers,2.151497588
BOSCHLTD,Bosch Ltd,0,Stable Performers,0.581746988
BPCL,Bharat Petroleum Corporation Ltd,0,Stable Performers,0.430153667
BRITANNIA,Britannia Industries Ltd,0,Stable Performers,0.220678244
CANBK,Canara Bank,3,Leveraged Growth,3.500454173
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,3,Leveraged Growth,0.577434599
CIPLA,"Cipla Ltd
",1,High Profit Leaders,0.729394239
COALINDIA,Coal India Ltd,1,High Profit Leaders,1.113846918
DABUR,Dabur India Ltd,0,Stable Performers,0.371009679
DIVISLAB,Divis Laboratories Ltd,0,Stable Performers,0.392315512
DLF,DLF Ltd,0,Stable Performers,2.190473499
DMART,Avenue Supermarts Ltd,0,Stable Performers,1.483815271
DRREDDY,Dr Reddys Laboratories Ltd,0,Stable Performers,0.501491444
EICHERMOT,Eicher Motors Ltd,0,Stable Performers,0.338802423
GAIL,GAIL (India) Ltd,0,Stable Performers,0.40881656
GODREJCP,Godrej Consumer Products Ltd,0,Stable Performers,0.53968299
GRASIM,Grasim Industries Ltd,0,Stable Performers,0.373296792
HAL,Hindustan Aeronautics Ltd,2,Financial Outliers,0.786328717
HAVELLS,Havells India Ltd,0,Stable Performers,0.54989228
HCLTECH,HCL Technologies Ltd,0,Stable Performers,0.39516754
HDFCBANK,HDFC Bank Ltd,4,Cash Rich Leaders,1.379563443
HDFCLIFE,HDFC Life Insurance Company Ltd,1,High Profit Leaders,1.281335626
HEROMOTOCO,"Hero MotoCorp Ltd
",1,High Profit Leaders,1.669382446
HINDALCO,Hindalco Industries Ltd,1,High Profit Leaders,0.559353197
HINDUNILVR,"Hindustan Unilever Ltd
",1,High Profit Leaders,0.721695089
ICICIBANK,ICICI Bank Ltd,4,Cash Rich Leaders,0.78135383
