company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,free_cash_flow_cr,cfo_quality_score,capex_intensity_pct,capex_category,fcf_conversion_pct,capital_allocation_pattern,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_flag,pat_cagr_flag,eps_cagr_flag,composite_quality_score
ABB,Dec 2012,8.77,12.22,22.41,31.22,15.99,0.0,False,,Debt Free,False,0.0,1.82,42.0,Moderate,3.57,Moderate,20.79,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,68.0,647.0,25.0,0.0,101.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,31.42
ABB,Mar 2014,8.7,11.73,25.13,33.88,17.38,0.0,False,,Debt Free,False,0.0,2.0,11.0,Moderate,6.33,Moderate,4.12,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,93.0,788.0,25.0,0.0,155.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,32.54
ABB,Mar 2015,10.0,13.63,24.44,33.3,16.67,0.0,False,,Debt Free,False,0.0,1.67,28.0,Moderate,8.17,Capital Intensive,8.97,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,108.0,937.0,29.0,0.0,215.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,32.22
ABB,Mar 2016,9.76,13.96,21.34,30.54,15.78,0.0,False,138.33,,False,0.0,1.62,172.0,Moderate,2.95,Asset Light,47.12,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,120.0,1195.0,29.0,0.0,249.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,31.04
ABB,Mar 2017,9.54,13.71,19.97,28.7,13.41,0.0,False,227.5,,False,0.0,1.41,152.0,High Quality,5.34,Moderate,38.19,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,130.0,1387.0,31.0,0.0,307.0,,11.92,,,13.82,,,13.84,,OK,OK,OK,33.48
ABB,Mar 2018,12.16,15.92,23.69,31.01,16.6,0.0,False,160.5,,False,0.0,1.37,-62.0,Accrual Risk,6.52,Moderate,-11.81,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,189.0,1693.0,29.0,0.0,153.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,32.09
ABB,Mar 2019,12.23,16.44,22.41,30.13,15.3,0.0,False,359.0,,False,0.0,1.25,242.0,High Quality,6.99,Moderate,40.0,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,212.0,2008.0,31.0,0.0,499.0,,10.08,,,17.84,,,17.92,,OK,OK,OK,34.84
ABB,Mar 2020,14.49,18.49,24.39,29.05,16.72,0.07,False,96.78,,False,175.0,1.15,225.0,High Quality,9.8,Capital Intensive,29.72,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,279.0,2431.0,90.0,175.0,626.0,,12.33,,,20.96,,,20.9,,OK,OK,OK,36.39
ABB,Mar 2021,16.03,21.39,26.56,33.47,17.99,0.06,False,55.72,,False,153.0,1.12,655.0,High Quality,1.67,Asset Light,71.04,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,325.0,2602.0,85.0,153.0,727.0,,10.52,,,22.06,,,22.05,,OK,OK,OK,37.29
ABB,Mar 2022,16.26,22.02,28.33,36.41,18.92,0.05,False,61.32,,False,152.0,1.16,552.0,High Quality,8.06,Capital Intensive,51.02,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,376.0,2820.0,73.0,152.0,948.0,,11.1,,,23.6,,,23.67,,OK,OK,OK,38.25
ABB,Mar 2023,17.74,22.55,29.77,36.53,20.83,0.04,False,85.0,,False,113.0,1.17,745.0,Moderate,2.77,Asset Light,61.77,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,447.0,3188.0,73.0,113.0,893.0,,10.16,,,18.8,,,18.79,,OK,OK,OK,38.46
ABB,Mar 2024,20.53,24.84,32.47,38.42,23.13,0.02,False,141.75,,False,83.0,1.13,797.0,High Quality,7.11,Moderate,54.85,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,565.0,3699.0,73.0,83.0,1213.0,,9.72,,,21.69,,,21.66,,OK,OK,OK,40.19
ADANIENSOL,Mar 2014,,,0.0,0.0,,0.0,False,,Debt Free,False,0.0,,0.0,,,,,Cash Accumulator,348517.36,439276.19,58.5,9.05,14.83,1.65,0.0,0.1,,0.0,0.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,20.0
ADANIENSOL,Mar 2015,-5.34,77.1,-0.65,0.94,-0.06,8.96,True,1.42,,True,9701.0,0.01,-1899.0,High Quality,1422.9,Capital Intensive,-1880.2,Growth Funded by Debt,348517.36,439276.19,58.5,9.05,14.83,1.65,0.0,1083.0,0.0,9701.0,-35.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,0.79
ADANIENSOL,Mar 2016,16.77,87.83,13.77,17.12,3.13,3.21,False,2.09,,False,8565.0,0.19,728.0,High Quality,37.19,Capital Intensive,37.78,Reinvestor,348517.36,439276.19,58.5,9.05,14.83,1.65,3.0,2672.0,0.0,8585.0,1544.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,21.94
ADANIENSOL,Mar 2017,14.46,68.95,14.12,16.63,3.25,3.05,False,2.22,,False,8870.0,0.22,459.0,High Quality,60.15,Capital Intensive,23.15,Reinvestor,348517.36,439276.19,58.5,9.05,14.83,1.65,4.0,2947.0,0.0,8975.0,2189.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,21.95
ADANIENSOL,Mar 2018,28.98,71.65,18.87,17.14,6.62,1.72,False,3.31,,False,10428.0,0.23,-994.0,High Quality,80.93,Capital Intensive,-35.17,Mixed,348517.36,439276.19,58.5,9.05,14.83,1.65,10.0,6057.0,0.0,10428.0,2198.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,29.19
ADANIENSOL,Mar 2019,7.65,38.03,6.95,9.86,1.72,2.5,False,2.24,,False,19801.0,0.22,-459.0,High Quality,41.75,Capital Intensive,-16.52,Mixed,348517.36,439276.19,58.5,9.05,14.83,1.65,5.0,8043.0,0.0,20137.0,2591.0,,,,,,,,,,ZERO_BASE,ZERO_BASE,ZERO_BASE,19.18
ADANIENSOL,Mar 2020,6.18,37.3,8.31,13.0,1.78,2.85,False,2.02,,False,23933.0,0.29,-206.0,High Quality,49.43,Capital Intensive,-4.84,Mixed,348517.36,439276.19,58.5,9.05,14.83,1.65,7.0,8499.0,0.0,24246.0,5437.0,,144.37,,,,,,,,OK,TURNAROUND,ZERO_BASE,40.39
ADANIENSOL,Mar 2021,13.0,39.79,14.46,10.97,2.98,3.04,False,2.39,,False,26653.0,0.23,-225.0,High Quality,40.39,Capital Intensive,-5.7,Reinvestor,348517.36,439276.19,58.5,9.05,14.83,1.65,11.0,8919.0,0.0,27095.0,3784.0,,35.24,,,28.51,,,29.67,,OK,OK,OK,29.95
ADANIENSOL,Mar 2022,10.98,37.36,12.47,10.56,2.6,3.02,False,2.32,,False,29341.0,0.24,161.0,High Quality,34.96,Capital Intensive,3.83,Reinvestor,348517.36,439276.19,58.5,9.05,14.83,1.65,11.0,9913.0,0.0,29902.0,4097.0,,31.38,,,24.33,,,22.42,,OK,OK,OK,27.9
ADANIENSOL,Mar 2023,9.64,33.99,10.9,9.82,2.38,2.92,False,2.19,,False,32900.0,0.25,-922.0,High Quality,35.35,Capital Intensive,-20.41,Mixed,348517.36,439276.19,58.5,9.05,14.83,1.65,11.0,11749.0,0.0,34270.0,3777.0,,27.51,,,2.31,,,1.92,,OK,OK,OK,24.51
ADANIENSOL,Mar 2024,7.2,34.39,9.46,11.49,2.04,2.93,False,2.28,,False,36304.0,0.28,1095.0,High Quality,29.76,Capital Intensive,19.17,Reinvestor,348517.36,439276.19,58.5,9.05,14.83,1.65,10.0,12641.0,0.0,37070.0,6038.0,,17.85,,,16.43,,,14.87,,OK,OK,OK,23.49
ADANIENT,Mar 2013,2.63,12.98,5.69,6.64,1.09,3.24,False,2.23,,False,69009.0,0.41,-7124.0,High Quality,31.89,Capital Intensive,-118.32,Mixed,187927.97,191237.75,58.87,10.41,33.01,0.83,15.0,21396.0,10.0,69332.0,7666.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,16.45
ADANIENT,Mar 2014,4.82,17.08,11.14,9.8,2.24,3.03,False,1.85,,False,71692.0,0.47,221.0,High Quality,14.57,Capital Intensive,2.36,Reinvestor,187927.97,191237.75,58.87,10.41,33.01,0.83,20.0,23757.0,7.0,71980.0,8228.0,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,19.27
