table_name,rows_loaded,rows_rejected,load_timestamp
companies,92,0,2026-06-22 10:56:28.639000
profit_loss,1276,0,2026-06-22 10:56:29.006807
balance_sheet,1312,0,2026-06-22 10:56:29.383947
cash_flow,1187,0,2026-06-22 10:56:29.593119
ratios,1184,0,2026-06-22 10:56:29.911233
stock_prices,5520,0,2026-06-22 10:56:30.953829
market_cap,552,0,2026-06-22 10:56:31.056670
pros_cons,16,0,2026-06-22 10:56:31.077985
sectors,92,0,2026-06-22 10:56:31.123144
analysis,20,0,2026-06-22 10:56:31.151576
peer_groups,56,0,2026-06-22 10:56:31.186237
documents,1585,0,2026-06-22 10:56:31.398781
