Sector,Companies,Avg_MarketCap,Avg_ROE,Avg_ROCE,Avg_PE,Avg_PB,Avg_EV_EBITDA,Avg_CapitalScore,Avg_IndexWeight
Healthcare,6,1602002.34,17.52,20.58,45.58,8.21,24.36,100.0,1.14
Consumer Discretionary,14,1455735.59,24.89,26.38,38.82,7.73,24.88,94.0,2.5
Real Estate,2,1295816.01,8.82,8.42,49.1,10.98,22.37,100.0,2.22
Financials,23,1276003.68,17.36,11.71,35.76,7.06,24.33,68.13,2.56
Information Technology,5,1270840.78,18.06,35.98,60.05,6.06,24.92,87.0,2.4
Materials,9,1253268.85,18.91,23.06,53.06,7.78,25.66,98.56,2.11
Industrials,10,1225460.41,17.74,22.38,49.18,7.3,22.44,93.2,1.9
Energy,14,913360.39,19.04,21.96,43.57,6.89,24.77,89.46,2.43
Consumer Staples,7,659788.5,39.52,50.81,48.65,8.93,19.22,99.86,1.1
Communication Services,2,471215.14,8.67,8.38,48.33,7.3,25.79,100.0,2.78
