company_id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,broad_sector,sub_sector,index_weight_pct,market_cap_category,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,free_cash_flow_cr,cfo_quality_score,capex_intensity_pct,capex_category,fcf_conversion_pct,capital_allocation_pattern,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_flag,pat_cagr_flag,eps_cagr_flag,composite_quality_score,created_at,sector,cfo_quality_score_cashflow,cfo_quality_label,capex_intensity_pct_cashflow,capex_label,fcf_cagr_5yr,fcf_conversion_pct_cashflow,distress_flag,deleveraging_flag,capital_allocation_pattern_cashflow,capital_allocation_label,year_capital,reinvestment_ratio,reinvestment_category,dividend_policy,cash_utilization,debt_trend,leverage,capital_score,rating,Profit Growth,ROE,Sales Growth,Stock CAGR
NESTLEIND,https://mkt.in/static/mkt-icons/nifty100/NESTLEIND.png,Nestle India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ANESTLEIND,"Nestle India Limited is the Indian subsidiary of Nestle which is a Swiss multinational company. The company is headquartered in Gurgaon, Haryana. The company's products include food, beverages, chocolate, and confectioneries.",https://www.nestle.in/,https://www.nseindia.com/get-quotes/equity?symbol=NESTLEIND,https://www.bseindia.com/stock-share-price/nestle-india-ltd/nestleind/500790/,1.0,41.0,185.43,135.61,Consumer Staples,Food Products,0.94,Large Cap,Mar 2024,16.12,23.83,117.75,157.75,37.38,0.1,0,41.19,,0,-119.0,2.32,2938.0,High Quality,5.07,Moderate,50.54,Reinvestor,1677775.19,1677279.88,54.96,14.34,15.49,3.85,41.0,3340.0,79.0,345.0,4175.0,,14.55,,,14.85,,,15.44,,OK,OK,OK,70.22,2026-07-06 15:19:48,,1.33,High Quality,5.07,Moderate,7.289119583372683,50.54,False,False,Shareholder Returns,Excellent,Mar 2024,29.63,Balanced,High Dividend,Healthy Capital Allocation,Increasing Debt,Low,100.0,Excellent,,,,
LICI,https://mkt.in/static/mkt-icons/nifty100/LICI.png,Life Insurance Corporation of India,https://in.tradingview.com/chart/?symbol=NSE%3ALICI,Life Insurance Corporation of India is an Indian multinational public sector life insurance company headquartered in Mumbai,https://www.licindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=LICI,https://www.bseindia.com/stock-share-price/life-insurance-corporation-of-india/lici/543526/,10.0,154.0,63.79,63.61,Financials,Life Insurance,2.18,Large Cap,Mar 2024,4.84,3.87,49.45,39.61,0.77,0.0,0,371.94,,0,-4976133.0,0.16,853.0,Moderate,2.99,Asset Light,2.6,Reinvestor,183583.67,205478.22,30.67,8.1,12.21,3.77,66.0,82747.0,15.0,0.0,26122.0,,8.16,,,73.18,,,,,OK,OK,OK,46.98,2026-07-06 15:19:48,,8.91,High Quality,2.99,Asset Light,-48.21728841371581,2.6,False,False,Shareholder Returns,Excellent,Mar 2024,96.73,Growth Focused,Low Dividend,Healthy Capital Allocation,Stable Debt,Low,100.0,Excellent,,,,
ADANIPOWER,"https://mkt.in/static/mkt-icons/nifty100/ADANIPOWER.png
",Adani Power Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIPOWER,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis",http://www.adani.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPOWER,https://www.bseindia.com/stock-share-price/adani-power-ltd/ADANIPOWER/533096/,10.0,145.0,32.2,57.1,Energy,Power & Utilities,3.01,Large Cap,Mar 2024,41.37,36.2,48.28,23.44,22.64,0.8,0,8.3,,0,34242.0,0.55,17651.0,Moderate,6.91,Moderate,96.83,Liquidating Assets,1372183.55,1357949.64,44.57,9.91,24.76,1.65,54.0,43145.0,0.0,34616.0,14170.0,,16.09,,,,,,,,OK,TURNAROUND,TURNAROUND,46.54,2026-07-06 15:19:48,,-1.03,Accrual Risk,6.91,Moderate,,96.83,False,True,Liquidating Assets,Restructuring,Mar 2024,24.57,Low Reinvestment,No Dividend,Asset Monetization,Deleveraging,Moderate,100.0,Excellent,,,,
BRITANNIA,https://mkt.in/static/mkt-icons/nifty100/BRITANNIA.png,Britannia Industries Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Britannia Industries is one of Indias leading food companies with a 100 year legacy and annual revenues in excess of Rs. 9000 Cr. Britannia is among the most trusted food brands, and manufactures Indias favorite brands like Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold which are household names in India. Britannias product portfolio includes Biscuits, Bread, Cakes, Rusk, and Dairy products including Cheese, Beverages, Milk and Yoghurt.

",https://www.britannia.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=BRITANNIA,https://www.bseindia.com/stock-share-price/britannia-industries-ltd/BRITANNIA/500825/,1.0,133.0,48.9,57.1,Consumer Staples,Food Products,0.66,Large Cap,Mar 2024,12.73,18.89,54.15,52.73,23.52,0.52,0,20.6,,0,-702.0,1.85,3050.0,High Quality,2.84,Asset Light,96.31,Liquidating Assets,324745.74,376568.58,63.91,4.26,33.95,1.88,89.0,3941.0,83.0,2065.0,2573.0,,8.69,,,13.06,,,13.14,,OK,OK,OK,44.92,2026-07-06 15:19:48,,1.08,High Quality,2.84,Asset Light,21.81530931380111,96.31,False,True,Liquidating Assets,Restructuring,Mar 2024,18.54,Low Reinvestment,High Dividend,Asset Monetization,Deleveraging,Moderate,100.0,Excellent,,,,
COALINDIA,https://mkt.in/static/mkt-icons/nifty100/COALINDIA.png,Coal India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ACOALINDIA,"Coal India Ltd is mainly engaged in mining and production of Coal and also operates Coal washeries. The major consumers of the company are power and steel sectors. Consumers from other sectors include cement, fertilizers, brick kilns etc.",http://www.coalindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=COALINDIA,https://www.bseindia.com/stock-share-price/coal-india-ltd/COALINDIA/533278/,10.0,156.0,63.6,52.0,Materials,Mining & Metals,2.46,Large Cap,Mar 2024,26.26,66.29,45.17,105.71,15.8,0.08,0,11.24,,0,-587.0,0.6,13617.0,Accrual Risk,3.15,Moderate,14.43,Reinvestor,454024.84,574785.39,34.27,14.75,25.15,4.38,61.0,82730.0,42.0,6523.0,18103.0,,7.4,,,16.43,,,16.85,,OK,OK,OK,44.25,2026-07-06 15:19:48,,1.19,High Quality,3.15,Moderate,5.863057152249307,14.43,False,False,Shareholder Returns,Excellent,Mar 2024,24.78,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,Low,100.0,Excellent,,,,
TATAMOTORS,https://mkt.in/static/mkt-icons/nifty100/TATAMOTORS.png,Tata Motors Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Tata Motors Group is a leading global automobile manufacturer. Part of the illustrious multi-national conglomerate, the Tata group, it offers a wide and diverse portfolio of cars, sports utility vehicles, trucks, buses and defence vehicles to the world.

It has operations in India, the UK, South Korea, South Africa, China, Brazil, Austria and Slovakia through a strong global network of subsidiaries, associate companies and Joint Ventures (JVs), including Jaguar Land Rover in the UK and Tata Daewoo in South Korea. 

",https://www.tatamotors.com/,https://www.nseindia.com/get-quotes/equity?symbol=TATAMOTORS,https://www.bseindia.com/stock-share-price/tata-motors-ltd/TATAMOTORS/500570/,2.0,275.0,20.1,49.4,Consumer Discretionary,Automobiles,0.91,Large Cap,Mar 2024,7.26,13.6,37.46,30.98,8.61,1.26,0,6.53,,0,84291.0,1.19,45133.0,High Quality,5.2,Moderate,75.81,Reinvestor,1504106.64,1588737.42,67.07,0.93,15.35,3.65,94.0,84918.0,7.0,107262.0,67915.0,,7.72,,,,,,,,OK,TURNAROUND,TURNAROUND,34.39,2026-07-06 15:19:48,,2.18,High Quality,5.2,Moderate,,75.81,False,True,Shareholder Returns,Excellent,Mar 2024,33.54,Balanced,Low Dividend,Healthy Capital Allocation,Deleveraging,High,100.0,Excellent,,,,
BPCL,https://mkt.in/static/mkt-icons/nifty100/BPCL.png,Bharat Petroleum Corporation Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Bharat Petroleum Corporation is a public sector company which is engaged in the business of refining of crude oil and marketing of petroleum products.[1]

",https://www.bharatpetroleum.in/,https://www.nseindia.com/get-quotes/equity?symbol=BPCL,https://www.bseindia.com/stock-share-price/bharat-petroleum-corporation-ltd/BPCL/500547/,10.0,178.0,32.1,41.9,Energy,Oil & Gas Refining,2.57,Large Cap,Mar 2024,5.99,9.84,35.51,33.85,13.27,0.72,0,11.36,,0,27968.0,2.21,25415.0,High Quality,2.35,Asset Light,57.65,Reinvestor,468662.13,606487.07,68.15,0.72,26.59,1.15,62.0,75635.0,33.0,54599.0,35936.0,,8.48,,,25.79,,,28.06,,OK,OK,OK,38.25,2026-07-06 15:19:48,,2.22,High Quality,2.35,Asset Light,24.30118345247379,57.65,False,True,Shareholder Returns,Excellent,Mar 2024,29.28,Balanced,Moderate Dividend,Healthy Capital Allocation,Deleveraging,Moderate,100.0,Excellent,,,,
IRCTC,https://mkt.in/static/mkt-icons/nifty100/IRCTC.png,Indian Railway Catering & Tourism Corporation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AIRCTC,"Incorporated in 1999, IRCTC is a Mini Ratna (Category 1, Central Public Sector Enterprises ) and the only company authorized by the Indian government to provide online railway tickets, catering services, and packaged drinking water
at railway stations and trains in India",http://www.irctc.com/,https://www.nseindia.com/get-quotes/equity?symbol=IRCTC,https://www.bseindia.com/stock-share-price/indian-railway-catering-tourism-corporation-ltd/IRCTC/542830/,2.0,44.0,53.8,40.4,Consumer Discretionary,Travel & Tourism,3.97,Mid Cap,Mar 2024,26.02,34.33,34.4,44.56,18.24,0.02,0,82.74,,0,60.0,0.7,667.0,Moderate,5.04,Moderate,45.5,Reinvestor,1258520.29,1473943.68,60.44,5.74,32.47,1.08,14.0,3230.0,47.0,60.0,882.0,,17.96,,,29.17,,,28.47,,OK,OK,OK,43.52,2026-07-06 15:19:48,,0.98,Moderate,5.04,Moderate,45.37464474156747,45.5,False,True,Reinvestor,Growth Focused,Mar 2024,24.38,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Deleveraging,Low,100.0,Excellent,,,,
ABB,https://mkt.in/static/mkt-icons/nifty100/ABB.png,Abbott India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AABBOTINDIA,Abbott India Ltd is one of the leading multinational pharmaceutical companies in India and sells its products through independent distributors primarily within India.,https://www.abbott.co.in/,https://www.nseindia.com/get-quotes/equity?symbol=ABBOTINDIA,https://www.bseindia.com/stock-share-price/abbott-india-ltd/ABBOTINDIA/500488/,10.0,1657.0,46.0,34.9,Industrials,Capital Goods,0.81,Large Cap,Mar 2024,20.53,24.84,32.47,38.42,23.13,0.02,0,141.75,,0,83.0,1.13,797.0,High Quality,7.11,Moderate,54.85,Reinvestor,1536236.24,1619349.16,75.58,4.48,12.63,0.96,565.0,3699.0,73.0,83.0,1213.0,,9.72,,,21.69,,,21.66,,OK,OK,OK,40.19,2026-07-06 15:19:48,,2.83,High Quality,84.51,Capital Intensive,15.97680185259178,75.36,False,False,Shareholder Returns,Excellent,Mar 2024,81.86,Growth Focused,High Dividend,Healthy Capital Allocation,Stable Debt,Low,100.0,Excellent,,,,
TITAN,https://mkt.in/static/mkt-icons/nifty100/TITAN.png,Titan Company Ltd,https://in.tradingview.com/chart/qGsydD2w/?symbol=NSE%3AAMBUJACEM.T0,"Titan Company Ltd is among India's most respected lifestyle companies. It has established leadership positions in the Watches, Jewellery and Eyewear categories led by its trusted brands and differentiated customer experience. It was founded in 1984 as a joint-venture between TATA Group and Tamilnadu Industrial Development Corporation (TIDCO). [1]

",https://www.titancompany.in/,https://www.nseindia.com/get-quotes/equity?symbol=TITAN,https://www.bseindia.com/stock-share-price/titan-company-ltd/TITAN/500114/,1.0,110.0,22.7,32.9,Consumer Discretionary,Gems & Jewellery,2.38,Large Cap,Mar 2024,6.84,10.36,37.22,21.24,11.08,1.65,0,9.41,,0,13183.0,1.62,1506.0,Accrual Risk,0.37,Asset Light,28.46,Reinvestor,1793769.72,2116401.21,10.13,10.51,21.0,3.1,39.0,9393.0,28.0,15528.0,1695.0,,20.9,,,20.27,,,19.51,,OK,OK,OK,37.88,2026-07-06 15:19:48,,0.78,Moderate,0.37,Asset Light,12.53074535363581,28.46,False,False,Reinvestor,Growth Focused,Mar 2024,11.15,Low Reinvestment,Moderate Dividend,Healthy Capital Allocation,Increasing Debt,High,85.0,Excellent,,,,
