ABB | ROE Difference = 12.49%
ABB | ROE Difference = 9.77%
ABB | ROE Difference = 9.77%
ABB | ROE Difference = 10.46%
ABB | ROE Difference = 10.46%
ABB | ROE Difference = 13.56%
ABB | ROE Difference = 13.56%
ABB | ROE Difference = 14.93%
ABB | ROE Difference = 14.93%
ABB | ROE Difference = 11.21%
ABB | ROE Difference = 11.21%
ABB | ROE Difference = 12.49%
ABB | ROE Difference = 12.49%
ABB | ROE Difference = 10.51%
ABB | ROE Difference = 10.51%
ABB | ROE Difference = 8.34%
ABB | ROE Difference = 8.34%
ABB | ROE Difference = 6.57%
ABB | ROE Difference = 6.57%
ABB | ROE Difference = 5.13%
ABB | ROE Difference = 5.13%
ADANIENSOL | ROE Difference = 8.59%
ADANIENSOL | ROE Difference = 9.24%
ADANIENSOL | ROE Difference = 5.18%
ADANIENSOL | ROE Difference = 5.53%
ADANIENSOL | ROE Difference = 10.28%
ADANIENSOL | ROE Difference = 5.87%
ADANIENT | ROE Difference = 7.95%
ADANIENT | ROE Difference = 6.17%
ADANIENT | ROE Difference = 7.10%
ADANIENT | ROE Difference = 9.70%
ADANIENT | ROE Difference = 10.21%
ADANIENT | ROE Difference = 7.50%
ADANIENT | ROE Difference = 7.54%
ADANIENT | ROE Difference = 10.10%
ADANIENT | ROE Difference = 6.31%
ADANIENT | ROE Difference = 5.11%
ADANIGREEN | ROE Difference = 18.61%
ADANIGREEN | ROE Difference = 24.99%
ADANIGREEN | ROE Difference = 39.27%
ADANIGREEN | ROE Difference = 17.59%
ADANIGREEN | ROE Difference = 6.43%
ADANIPORTS | ROE Difference = 7.53%
ADANIPORTS | ROE Difference = 6.26%
ADANIPORTS | ROE Difference = 6.22%
ADANIPORTS | ROE Difference = 7.53%
ADANIPORTS | ROE Difference = 6.26%
ADANIPORTS | ROE Difference = 6.22%
ADANIPOWER | ROE Difference = 110.56%
ADANIPOWER | ROE Difference = 61.55%
ADANIPOWER | ROE Difference = 71.35%
ADANIPOWER | ROE Difference = 49.72%
ADANIPOWER | ROE Difference = 262.90%
ADANIPOWER | ROE Difference = 293.66%
ADANIPOWER | ROE Difference = 69.86%
ADANIPOWER | ROE Difference = 92.20%
ADANIPOWER | ROE Difference = 47.41%
ADANIPOWER | ROE Difference = 30.49%
ADANIPOWER | ROE Difference = 21.19%
ADANIPOWER | ROE Difference = 8.82%
AMBUJACEM | ROE Difference = 5.45%
AMBUJACEM | ROE Difference = 5.53%
AMBUJACEM | ROE Difference = 5.40%
APOLLOHOSP | ROE Difference = 6.76%
APOLLOHOSP | ROE Difference = 9.86%
APOLLOHOSP | ROE Difference = 11.96%
APOLLOHOSP | ROE Difference = 7.81%
APOLLOHOSP | ROE Difference = 10.83%
APOLLOHOSP | ROE Difference = 5.89%
ASIANPAINT | ROE Difference = 6.50%
ASIANPAINT | ROE Difference = 6.50%
ASIANPAINT | ROE Difference = 8.14%
ASIANPAINT | ROE Difference = 8.14%
ASIANPAINT | ROE Difference = 6.41%
ASIANPAINT | ROE Difference = 6.41%
ASIANPAINT | ROE Difference = 9.11%
ASIANPAINT | ROE Difference = 9.11%
ASIANPAINT | ROE Difference = 5.22%
ASIANPAINT | ROE Difference = 5.22%
BAJAJ-AUTO | ROE Difference = 12.35%
BAJAJ-AUTO | ROE Difference = 12.35%
BAJAJ-AUTO | ROE Difference = 6.74%
BAJAJ-AUTO | ROE Difference = 6.74%
BAJAJ-AUTO | ROE Difference = 5.84%
BAJAJ-AUTO | ROE Difference = 5.84%
BAJAJ-AUTO | ROE Difference = 5.29%
BAJAJ-AUTO | ROE Difference = 5.29%
BAJAJ-AUTO | ROE Difference = 8.69%
BAJAJ-AUTO | ROE Difference = 8.69%
BAJAJ-AUTO | ROE Difference = 5.85%
BAJAJ-AUTO | ROE Difference = 5.85%
BAJAJ-AUTO | ROE Difference = 5.86%
BAJAJ-AUTO | ROE Difference = 5.86%
AXISBANK | ROE Difference = 11.87%
AXISBANK | ROE Difference = 17.97%
AXISBANK | ROE Difference = 11.50%
AXISBANK | ROE Difference = 16.52%
AXISBANK | ROE Difference = 12.04%
AXISBANK | ROE Difference = 7.39%
AXISBANK | ROE Difference = 11.02%
BAJAJFINSV | ROE Difference = 16.66%
BAJAJFINSV | ROE Difference = 11.81%
BAJAJFINSV | ROE Difference = 10.00%
BAJAJFINSV | ROE Difference = 8.69%
BAJAJFINSV | ROE Difference = 9.64%
BAJAJFINSV | ROE Difference = 8.67%
BAJAJFINSV | ROE Difference = 10.92%
BAJAJFINSV | ROE Difference = 7.43%
BAJAJFINSV | ROE Difference = 8.84%
BAJAJFINSV | ROE Difference = 8.94%
BAJAJFINSV | ROE Difference = 14.59%
BAJAJFINSV | ROE Difference = 14.13%
BAJAJHLDNG | ROE Difference = 5.17%
BAJFINANCE | ROE Difference = 6.35%
BAJFINANCE | ROE Difference = 5.82%
BAJFINANCE | ROE Difference = 10.13%
BAJFINANCE | ROE Difference = 6.02%
BANKBARODA | ROE Difference = 7.30%
BANKBARODA | ROE Difference = 28.54%
BANKBARODA | ROE Difference = 12.39%
BANKBARODA | ROE Difference = 20.64%
BANKBARODA | ROE Difference = 14.58%
BANKBARODA | ROE Difference = 15.41%
BANKBARODA | ROE Difference = 14.73%
BANKBARODA | ROE Difference = 8.06%
BHARTIARTL | ROE Difference = 10.40%
BHARTIARTL | ROE Difference = 9.85%
BHARTIARTL | ROE Difference = 8.61%
BHARTIARTL | ROE Difference = 11.76%
BHARTIARTL | ROE Difference = 12.54%
BHARTIARTL | ROE Difference = 54.65%
BHARTIARTL | ROE Difference = 35.87%
