rank,company_id,company_name,year,broad_sector,sub_sector,market_cap_category,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,debt_to_equity,interest_coverage,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr,composite_quality_score,roe_score,roce_score,margin_score,growth_score,profit_score,fcf_score,debt_score,valuation_score,dividend_score,quality_score,investment_score,grade,risk,recommendation,portfolio_weight
1,INDIGO,Interglobe Aviation Ltd,Mar 2024,Consumer Discretionary,Airlines,Large Cap,1040632.92,76.23,7.87,4.27,892.57,5640.88,11.85,0.02,22.61,9424.0,19.31,120.69,406.08,100.0,100.0,31.424563971216017,72.08576099258083,100.0,62.18904405556259,99.75776660812693,25.28935439862694,99.45479903638899,100.0,89.64,A,Low,Strong Buy,6.18
2,HAL,Hindustan Aeronautics Ltd,Mar 2024,Industrials,Defence & Aerospace,Large Cap,2643616.86,71.89,3.65,2.77,3816.58,3027.64,25.0,0.62,270.88,1814.0,8.71,26.49,1431.03,100.0,100.0,71.52091718502261,27.654357211719855,36.19730548960307,51.30759678017833,92.49076485193484,45.14702337275917,61.41752250538861,100.0,76.09,B+,Moderate,Buy,5.23
3,NESTLEIND,Nestle India Ltd,Mar 2024,Consumer Staples,Food Products,Large Cap,1677775.19,54.96,14.34,3.85,117.75,157.75,16.12,0.1,41.19,2938.0,14.55,14.85,70.22,100.0,78.0943752359386,44.44444444444448,52.13354570985458,20.26835626654989,52.91479083241642,98.78883304063466,14.976831822482438,88.8043616077089,100.0,75.41,B+,Low,Buy,5.18
4,LT,Larsen & Toubro Ltd,Mar 2024,Industrials,Engineering & Construction,Large Cap,1124597.5,30.8,2.48,1.26,77.67,135.2,7.03,0.1,3.54,20445.0,10.34,8.76,58.85,100.0,66.74418019378425,16.727649713379694,34.48673345349375,11.934395719437013,77.94783911758756,98.78883304063466,83.52392904704716,23.126664130848233,98.59833822332904,73.9,B+,Moderate,Buy,5.08
5,BEL,Bharat Electronics Ltd,Mar 2024,Industrials,Defence Electronics,Large Cap,1354781.06,17.89,9.22,0.76,4744.05,3977.17,19.66,0.51,476.75,-1265.0,10.75,16.13,1812.45,100.0,100.0,55.23844371264792,36.20530661860253,22.0199932945145,46.90497179188554,93.82304850723672,64.302184145446,10.447571953848104,100.0,73.63,B+,Moderate,Buy,5.06
6,TRENT,Trent Ltd,Mar 2024,Consumer Discretionary,Retail,Large Cap,571322.04,8.65,11.82,3.46,36.31,33.86,11.94,0.43,8.04,841.0,36.31,73.11,48.72,53.44257271358918,15.736252673965122,31.698987681424583,100.0,99.99521036750166,49.91631580791172,94.791982074729,57.90608634423271,78.91466970964879,73.62237727754635,70.32,B+,Low,Buy,4.83
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Mar 2024,Financials,Holding Companies,Large Cap,2191568.13,37.73,9.38,3.37,13.58,2.88,432.73,0.0,3764.5,1469.0,31.61,19.3,118.0,12.468791967480563,0.1429470240342276,100.0,100.0,26.35803187158311,50.81428543852162,100.0,47.55418992044211,76.63243311778876,100.0,65.19,B,Low,Accumulate,4.48
8,LICI,Life Insurance Corporation of India,Mar 2024,Financials,Life Insurance,Large Cap,183583.67,30.67,8.1,3.77,49.45,39.61,4.84,0.0,371.94,853.0,8.16,73.18,46.98,77.12913140271664,18.63042657606656,10.050006098304678,25.348954185354422,100.0,49.93347446327369,100.0,58.896405419796345,86.77570685938886,69.33233067876431,65.19,B,Low,Accumulate,4.48
9,COALINDIA,Coal India Ltd,Mar 2024,Materials,Mining & Metals,Large Cap,454024.84,34.27,14.75,4.38,45.17,105.71,26.26,0.08,11.24,13617.0,7.4,16.43,44.25,69.41387484339657,51.90084308544138,75.36284912794248,22.16330636710401,22.430533222943705,68.18456421662518,99.03106643250771,31.708056703406896,100.0,62.601395497916656,58.68,C,Low,Accumulate,4.03
10,TCS,Tata Consultancy Services Ltd,Mar 2024,Information Technology,IT Services,Large Cap,461188.15,78.69,6.08,1.62,50.94,65.27,19.14,0.09,87.1,50429.0,10.46,7.87,45.49,79.81505015818084,31.54599219831404,53.652884498109565,34.98973047742803,10.716460598430368,100.0,98.90994973657119,33.16683536504863,32.25561049828833,65.65867008555443,58.57,C,Low,Accumulate,4.03
11,ADANIPOWER,Adani Power Ltd,Mar 2024,Energy,Power & Utilities,Large Cap,1372183.55,44.57,9.91,1.65,48.28,23.44,41.37,0.8,8.3,17651.0,16.09,16.025,46.54,75.02005425916418,10.491506228765642,100.0,58.58867418367778,21.87630431956428,73.95273219414162,90.31066432507721,39.69050066388342,33.016356028908326,68.24749130895738,57.13,C,Moderate,Accumulate,3.93
12,LTIM,LTIMindtree Ltd,Mar 2024,Information Technology,IT Services,Large Cap,1347046.9,64.52,2.38,4.43,22.9,28.91,12.91,0.1,31.93,1752.0,30.33,24.78,38.71,29.26930391441115,13.244746445199535,34.65666544700575,100.0,33.857227897556605,51.21894372747481,98.78883304063466,56.6959159399348,100.0,48.942281614438265,55.16,C,Low,Accumulate,3.79
13,IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Mar 2024,Consumer Discretionary,Travel & Tourism,Mid Cap,1258520.29,60.44,5.74,1.08,34.4,44.56,26.02,0.02,82.74,667.0,17.96,29.17,43.52,49.99954934249074,21.121932804832152,74.63105256738632,66.42704447332024,39.86479551690398,49.66751530516312,99.75776660812693,45.208478582786526,18.562190947128187,60.80154836164605,54.11,C,Low,Hold,3.72
14,BRITANNIA,Britannia Industries Ltd,Mar 2024,Consumer Staples,Food Products,Large Cap,324745.74,63.91,4.26,1.88,54.15,52.73,12.73,0.52,20.6,3050.0,8.69,13.06,44.92,85.6014925776709,25.234176418774553,34.10781802658863,27.570524374397465,17.81880136025563,53.0749382824615,93.70193181130018,48.915644570352526,38.84873843032839,64.25330999284998,53.96,C,Moderate,Hold,3.71
15,INFY,Infosys Ltd,Mar 2024,Information Technology,IT Services,Large Cap,1112279.92,35.99,8.97,4.1,29.79,37.76,17.08,0.09,87.52,20117.0,13.2,11.24,37.9,41.68942487088666,17.699257581477408,47.37163068666913,46.47482919059398,15.328192461118448,77.47883587102699,98.90994973657119,50.76560169749107,95.14390769620894,46.94519095638456,51.14,C,Low,Hold,3.51
16,TITAN,"Titan Company Ltd
",Mar 2024,Consumer Discretionary,Gems & Jewellery,Large Cap,1793769.72,10.13,10.51,3.1,37.22,21.24,6.84,1.65,9.41,1506.0,20.9,20.27,37.88,55.0829660474633,9.384170127092046,16.14831076960606,78.75047155970998,27.685444306837542,50.86719129255437,80.01574517047175,63.67117017999384,69.7857233422087,46.8958800759388,50.92,C,High,Hold,3.5
17,ITC,"ITC Ltd
",Mar 2024,Consumer Staples,Diversified FMCG,Large Cap,332245.58,47.85,3.24,4.26,27.85,35.07,29.28,0.0,362.96,18742.0,7.95,10.08,38.57,38.192322598671495,16.345287529885603,84.57128918160757,24.46870939346944,13.740771404525521,75.51273994413428,100.0,66.39160648110902,99.20121719284899,48.597105451317866,49.68,D,Low,Hold,3.41
18,BPCL,Bharat Petroleum Corporation Ltd,Mar 2024,Energy,Oil & Gas Refining,Large Cap,468662.13,68.15,0.72,1.15,35.51,33.85,5.99,0.72,11.36,25415.0,8.48,25.79,38.25,52.00046868380972,15.731219328048427,13.556531284302972,26.69027958251249,35.23937898993493,85.05438221333786,91.27959789256948,54.31057487809414,20.3372638519082,47.80813136418554,48.67,D,Moderate,Hold,3.35
19,TATAMOTORS,Tata Motors Ltd,Mar 2024,Consumer Discretionary,Automobiles,Large Cap,1504106.64,67.07,0.93,3.65,37.46,30.98,7.26,1.26,6.53,45133.0,7.72,16.025,34.39,55.51559725639713,14.286649049956054,17.428954750579347,23.504631764262076,21.87630431956428,100.0,84.73929631199661,55.18393026095536,83.73272473690884,38.29113143815186,48.43,D,Moderate,Hold,3.33
20,ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2024,Materials,Paints & Coatings,Large Cap,2126725.18,73.37,3.9,2.42,29.68,35.77,15.66,0.13,41.0,3556.0,13.03,20.28,38.43,41.49113556679199,16.697621744054477,43.04183437004516,45.76225007335376,27.699128971118515,53.79846158355801,98.42548295282505,42.84999619439698,52.54215798148852,48.25192928819747,47.63,D,Low,Hold,3.27
21,SBIN,State Bank of India,Mar 2024,Financials,Public Sector Banks,Large Cap,2400436.05,54.93,2.72,0.42,15.83,19.18,15.83,0.43,0.37,18156.0,11.63,83.41,33.25,16.524709551235265,8.347300868252226,43.560190267105774,39.89395146078722,100.0,74.6748256072913,94.791982074729,62.95470697390115,1.8257892734880183,35.48041125274295,47.31,D,Moderate,Hold,3.25
22,VBL,VBL,Dec 2023,Unknown,Unknown,Unknown,1157964.725,46.18,7.54,2.18,15.83,19.18,13.1,0.43,12.71,-897.0,25.74,47.61,31.24,16.524709551235265,8.347300868252226,35.236004390779385,99.03801819172575,65.09931645101916,47.431170556319366,94.791982074729,48.81851504614352,46.45619373652847,30.524667767943015,47.04,D,Low,Hold,3.23
23,ABB,Abbott India Ltd,Mar 2024,Industrials,Capital Goods,Large Cap,1536236.24,75.58,4.48,0.96,32.47,38.42,20.53,0.02,141.75,797.0,9.72,21.69,40.19,46.520473370647814,18.031458411979482,57.891206244664026,31.887915496500003,29.628666634735783,49.85340073825116,99.75776660812693,40.20815913391717,15.519208824648153,52.59128676742526,46.13,D,Low,Hold,3.17
24,HINDUNILVR,"Hindustan Unilever Ltd
",Mar 2024,Consumer Staples,FMCG,Mid Cap,548890.59,34.51,11.88,4.32,20.07,89.63,16.61,0.03,57.85,10145.0,9.5,11.15,33.62,24.16786090906635,43.80722285139075,45.93852908891331,30.965754285953828,15.205030482589688,63.21999326522778,99.63664991219039,39.15601443233787,100.0,36.39266254098969,45.58,D,Low,Hold,3.13
25,HDFCLIFE,HDFC Life Insurance Company Ltd,Mar 2024,Financials,Life Insurance,Large Cap,47027.6,50.59,11.28,3.22,10.73,646.46,1.55,0.06,192.29,-2893.0,21.17,4.25,27.89,7.331296361391275,100.0,0.018294914013904165,79.88221486356211,5.762612128717951,44.57711421444459,99.27329982438079,28.793219589730015,72.82870546468874,22.26509529327648,45.44,D,Low,Hold,3.12
