company_id,company_name,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,revenue_cagr_5yr,composite_quality_score,flag,roe_score,roce_score,growth_score,margin_score,quality_score,valuation_score,overall_score,grade,rank,recommendation,risk_level,strengths,weaknesses,investment_view,risk_summary,opportunities
BEL,Bharat Electronics Ltd,Industrials,4744.05,3977.17,19.66,10.75,1812.45,Discount,20,20,10,12,20,10,92,A+,1,🟢 Buy,Low,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'High Quality Business', 'Trading Below Sector Valuation']",['No significant weaknesses'],Strong financial fundamentals with healthy profitability and attractive valuation. Suitable for long-term investors.,Low investment risk with strong financial stability.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
HAL,Hindustan Aeronautics Ltd,Industrials,3816.58,3027.64,25.0,8.71,1431.03,Caution,20,20,7,15,20,5,87,A,3,🟢 Buy,Low,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'High Quality Business']",['Expensive Compared to Sector'],Strong financial fundamentals with healthy profitability and attractive valuation. Suitable for long-term investors.,Low investment risk with strong financial stability.,['Efficient capital utilization.']
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,892.57,5640.88,11.85,19.31,406.08,Caution,20,20,12,10,20,5,87,A,2,🟢 Buy,Low,"['High Return on Equity', 'Strong Capital Efficiency', 'Healthy Revenue Growth', 'High Quality Business']",['Expensive Compared to Sector'],Strong financial fundamentals with healthy profitability and attractive valuation. Suitable for long-term investors.,Low investment risk with strong financial stability.,"['Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,13.58,2.88,432.73,31.61,118.0,Fair,10,5,15,15,20,8,73,B+,16,🟡 Hold,Moderate,"['Healthy Revenue Growth', 'Excellent Profit Margin', 'High Quality Business']",['Weak Capital Efficiency'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Strong revenue growth supports future expansion.']
NESTLEIND,Nestle India Ltd,Consumer Staples,117.75,157.75,16.12,14.55,70.22,Fair,20,20,10,12,15,8,85,A,4,🟢 Buy,Low,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin']",['No significant weaknesses'],Strong financial fundamentals with healthy profitability and attractive valuation. Suitable for long-term investors.,Low investment risk with strong financial stability.,['Efficient capital utilization.']
LT,Larsen & Toubro Ltd,Industrials,77.67,135.2,7.03,10.34,58.85,Discount,20,20,10,7,5,10,72,B+,22,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
TRENT,Trent Ltd,Consumer Discretionary,36.31,33.86,11.94,36.31,48.72,Discount,20,20,15,10,5,10,80,A,5,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
LICI,Life Insurance Corporation of India,Financials,49.45,39.61,4.84,8.16,46.98,Fair,20,20,7,3,5,8,63,B,40,🟠 Watch,High,"['High Return on Equity', 'Strong Capital Efficiency']","['Low Profit Margin', 'Weak Quality Score']",Business fundamentals require monitoring before investment.,High investment risk due to weaker fundamentals.,['Efficient capital utilization.']
ADANIPOWER,Adani Power Ltd,Energy,48.28,23.44,41.37,16.09,46.54,Fair,20,18,12,15,5,8,78,B+,6,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Healthy Revenue Growth', 'Excellent Profit Margin']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
TCS,Tata Consultancy Services Ltd,Information Technology,50.94,65.27,19.14,10.46,45.49,Fair,20,20,10,12,5,8,75,B+,15,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Efficient capital utilization.']
