company_id,company_name,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,revenue_cagr_5yr,composite_quality_score,flag,roe_score,roce_score,growth_score,margin_score,quality_score,valuation_score,overall_score,grade,rank,recommendation,risk_level,strengths,weaknesses,investment_view,risk_summary,opportunities
BEL,Bharat Electronics Ltd,Industrials,4744.05,3977.17,19.66,10.75,1812.45,Discount,20,20,10,12,20,10,92,A+,1,🟢 Buy,Low,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'High Quality Business', 'Trading Below Sector Valuation']",['No significant weaknesses'],Strong financial fundamentals with healthy profitability and attractive valuation. Suitable for long-term investors.,Low investment risk with strong financial stability.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
TRENT,Trent Ltd,Consumer Discretionary,36.31,33.86,11.94,36.31,48.72,Discount,20,20,15,10,5,10,80,A,5,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
INFY,Infosys Ltd,Information Technology,29.79,37.76,17.08,13.2,37.9,Discount,20,20,10,12,5,10,77,B+,8,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
COALINDIA,Coal India Ltd,Materials,45.17,105.71,26.26,7.4,44.25,Discount,20,20,7,15,5,10,77,B+,9,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,22.17,23.45,24.2,11.04,36.2,Discount,18,18,10,15,5,10,76,B+,10,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
TITAN,"Titan Company Ltd
",Consumer Discretionary,37.22,21.24,6.84,20.9,37.88,Discount,20,18,15,7,5,10,75,B+,14,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Healthy Revenue Growth', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Strong revenue growth supports future expansion.', 'Efficient capital utilization.']"
PIDILITIND,Pidilite Industries Ltd,Materials,20.78,30.81,14.11,11.84,34.15,Discount,18,20,10,10,5,10,73,B+,17,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,20.07,89.63,16.61,9.5,33.62,Discount,18,20,7,12,5,10,72,B+,20,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,19.74,26.22,19.91,12.64,35.71,Discount,15,20,10,12,5,10,72,B+,21,🟡 Hold,Moderate,"['Strong Capital Efficiency', 'Excellent Profit Margin', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,['Potential upside due to attractive valuation.']
LT,Larsen & Toubro Ltd,Industrials,77.67,135.2,7.03,10.34,58.85,Discount,20,20,10,7,5,10,72,B+,22,🟡 Hold,Moderate,"['High Return on Equity', 'Strong Capital Efficiency', 'Trading Below Sector Valuation']",['Weak Quality Score'],Stable business with consistent performance. Current valuation appears reasonable.,Moderate investment risk. Monitor future performance.,"['Potential upside due to attractive valuation.', 'Efficient capital utilization.']"
